year,district,crop,season,area_hectares,production_tonnes,yield_kg_per_hectare
2010,Patna,rice,kharif,8795.59,17542.86,1994.51
2010,Patna,wheat,rabi,2650.64,8634.2,3257.4
2010,Patna,maize,kharif,4297.26,11322.45,2634.81
2010,Patna,sugarcane,rabi,1418.05,72681.01,51254.06
2010,Patna,jute,kharif,5456.59,8271.53,1515.88
2010,Gaya,rice,kharif,2663.69,6942.84,2606.48
2010,Gaya,wheat,rabi,4210.78,14509.85,3445.88
2010,Gaya,maize,kharif,9881.98,24092.99,2438.07
2010,Gaya,sugarcane,rabi,6609.68,400362.23,60572.08
2010,Gaya,jute,kharif,6738.02,11671.57,1732.2
2010,Bhagalpur,rice,kharif,5444.16,12866.0,2363.27
2010,Bhagalpur,wheat,rabi,5577.14,11667.91,2092.1
2010,Bhagalpur,maize,kharif,8273.08,38209.62,4618.55
2010,Bhagalpur,sugarcane,rabi,5854.08,304837.66,52072.68
2010,Bhagalpur,jute,kharif,5596.73,8795.83,1571.6
2010,Muzaffarpur,rice,kharif,3908.83,9973.25,2551.47
2010,Muzaffarpur,wheat,rabi,1331.98,3909.48,2935.08
2010,Muzaffarpur,maize,kharif,5405.07,21660.68,4007.47
2010,Muzaffarpur,sugarcane,rabi,5821.97,269446.26,46280.93
2010,Muzaffarpur,jute,kharif,1149.29,2087.5,1816.34
2010,Darbhanga,rice,kharif,2237.69,4783.01,2137.48
2010,Darbhanga,wheat,rabi,5996.81,18530.38,3090.04
2010,Darbhanga,maize,kharif,9073.99,34919.02,3848.25
2010,Darbhanga,sugarcane,rabi,9086.99,373608.93,41114.72
2010,Darbhanga,jute,kharif,3135.24,5406.75,1724.51
2010,Purnia,rice,kharif,6114.78,14929.5,2441.54
2010,Purnia,wheat,rabi,6680.25,21138.06,3164.26
2010,Purnia,maize,kharif,7502.07,27819.64,3708.26
2010,Purnia,sugarcane,rabi,8677.09,528069.62,60857.95
2010,Purnia,jute,kharif,6011.21,10442.97,1737.25
2010,Araria,rice,kharif,7666.92,19072.41,2487.62
2010,Araria,wheat,rabi,8291.02,31144.61,3756.43
2010,Araria,maize,kharif,4041.96,16833.05,4164.58
2010,Araria,sugarcane,rabi,5883.8,272697.63,46347.18
2010,Araria,jute,kharif,2942.39,5755.96,1956.22
2010,Kishanganj,rice,kharif,6736.87,13531.96,2008.64
2010,Kishanganj,wheat,rabi,9663.84,26036.23,2694.19
2010,Kishanganj,maize,kharif,3252.19,11219.61,3449.87
2010,Kishanganj,sugarcane,rabi,3229.58,171918.68,53232.54
2010,Kishanganj,jute,kharif,1880.51,3575.5,1901.35
2010,West Champaran,rice,kharif,1407.74,2272.98,1614.64
2010,West Champaran,wheat,rabi,2466.41,9187.12,3724.9
2010,West Champaran,maize,kharif,6789.59,23149.55,3409.56
2010,West Champaran,sugarcane,rabi,9148.16,506792.82,55398.36
2010,West Champaran,jute,kharif,7270.63,11018.87,1515.53
2010,East Champaran,rice,kharif,2596.96,5752.13,2214.95
2010,East Champaran,wheat,rabi,9376.82,29299.78,3124.7
2010,East Champaran,maize,kharif,9122.98,31660.94,3470.46
2010,East Champaran,sugarcane,rabi,6160.94,334257.94,54254.37
2010,East Champaran,jute,kharif,7771.37,13223.81,1701.61
2010,Sheohar,rice,kharif,8989.34,20532.05,2284.04
2010,Sheohar,wheat,rabi,1910.1,5552.97,2907.16
2010,Sheohar,maize,kharif,9525.24,34503.68,3622.34
2010,Sheohar,sugarcane,rabi,9157.19,458279.01,50045.81
2010,Sheohar,jute,kharif,6250.32,12405.92,1984.85
2010,Sitamarhi,rice,kharif,9669.0,18040.87,1865.85
2010,Sitamarhi,wheat,rabi,7261.74,23265.75,3203.88
2010,Sitamarhi,maize,kharif,3528.67,9730.78,2757.64
