year,month,district,ndvi,lai,evi
2010,1,Patna,0.412,2.93,0.585
2010,1,Gaya,0.541,1.39,0.531
2010,1,Bhagalpur,0.592,2.09,0.735
2010,1,Muzaffarpur,0.495,1.69,0.657
2010,1,Darbhanga,0.531,1.06,0.589
2010,1,Purnia,0.392,1.19,0.476
2010,1,Araria,0.573,2.26,0.778
2010,1,Kishanganj,0.52,1.25,0.667
2010,1,West Champaran,0.485,2.96,0.636
2010,1,East Champaran,0.469,1.78,0.435
2010,1,Sheohar,0.586,1.71,0.617
2010,1,Sitamarhi,0.384,2.86,0.587
2010,1,Madhubani,0.382,2.07,0.496
2010,1,Supaul,0.524,2.83,0.777
2010,1,Saharsa,0.589,2.57,0.675
2010,1,Madhepura,0.418,2.62,0.609
2010,1,Khagaria,0.528,2.8,0.674
2010,1,Begusarai,0.494,2.6,0.516
2010,1,Samastipur,0.307,2.65,0.489
2010,1,Vaishali,0.485,1.88,0.47
2010,1,Saran,0.524,2.92,0.743
2010,1,Siwan,0.394,2.69,0.392
2010,1,Gopalganj,0.431,1.9,0.515
2010,1,Rohtas,0.38,2.99,0.612
2010,1,Buxar,0.486,2.29,0.666
2010,1,Kaimur,0.355,1.12,0.458
2010,1,Bhojpur,0.416,2.13,0.598
2010,1,Arwal,0.322,2.58,0.275
2010,1,Jehanabad,0.515,1.43,0.711
2010,1,Aurangabad,0.532,2.63,0.577
2010,1,Nalanda,0.397,2.94,0.445
2010,1,Sheikhpura,0.443,2.33,0.547
2010,1,Lakhisarai,0.351,2.8,0.396
2010,1,Jamui,0.574,1.81,0.704
2010,1,Munger,0.436,2.57,0.437
2010,1,Banka,0.378,2.03,0.651
2010,1,Nawada,0.474,2.26,0.729
2010,1,Katihar,0.443,2.12,0.675
2010,2,Patna,0.387,1.32,0.412
2010,2,Gaya,0.32,1.49,0.396
2010,2,Bhagalpur,0.358,1.75,0.343
2010,2,Muzaffarpur,0.374,1.01,0.419
2010,2,Darbhanga,0.405,2.59,0.567
2010,2,Purnia,0.329,1.02,0.263
2010,2,Araria,0.45,1.92,0.478
2010,2,Kishanganj,0.309,2.6,0.283
2010,2,West Champaran,0.39,1.44,0.37
2010,2,East Champaran,0.379,1.02,0.365
