year,month,district,temp_max_c,temp_min_c,temp_avg_c,rainfall_mm,humidity_percent,solar_radiation
2010,1,Patna,24.0,12.0,18.0,26.0,61.3,19.2
2010,1,Gaya,23.0,11.5,17.3,12.7,63.2,16.7
2010,1,Bhagalpur,25.1,17.2,21.2,17.7,64.5,16.6
2010,1,Muzaffarpur,26.6,17.7,22.2,13.7,64.4,21.0
2010,1,Darbhanga,26.2,12.6,19.4,20.8,70.7,24.6
2010,1,Purnia,21.3,18.0,19.6,14.8,70.8,20.7
2010,1,Araria,23.9,15.0,19.4,14.9,61.9,19.9
2010,1,Kishanganj,24.2,10.0,17.1,28.4,63.4,19.1
2010,1,West Champaran,21.2,13.4,17.3,12.7,67.3,17.2
2010,1,East Champaran,20.4,15.8,18.1,21.0,65.1,15.5
2010,1,Sheohar,26.9,9.7,18.3,28.3,67.2,18.4
2010,1,Sitamarhi,25.9,16.8,21.4,14.3,66.1,19.3
2010,1,Madhubani,27.4,14.9,21.2,11.2,62.8,17.3
2010,1,Supaul,22.1,10.3,16.2,21.5,61.7,18.9
2010,1,Saharsa,25.0,10.9,18.0,6.6,61.2,16.3
2010,1,Madhepura,26.7,14.6,20.6,6.6,65.9,17.8
2010,1,Khagaria,24.6,13.2,18.9,17.0,64.7,16.4
2010,1,Begusarai,25.9,16.8,21.4,28.6,60.9,22.4
2010,1,Samastipur,25.8,17.5,21.6,11.3,71.1,15.5
2010,1,Vaishali,25.0,11.5,18.3,24.2,72.9,18.6
2010,1,Saran,24.2,9.2,16.7,15.4,65.4,16.8
2010,1,Siwan,27.2,9.5,18.3,20.9,73.4,24.1
2010,1,Gopalganj,26.3,9.8,18.1,25.4,64.1,24.2
2010,1,Rohtas,25.7,15.9,20.8,7.1,68.7,23.2
2010,1,Buxar,26.9,8.3,17.6,28.5,60.7,21.1
2010,1,Kaimur,25.5,9.1,17.3,6.2,71.8,18.8
2010,1,Bhojpur,20.9,15.6,18.2,26.2,68.8,16.6
2010,1,Arwal,20.1,15.0,17.6,18.8,69.8,23.1
2010,1,Jehanabad,23.5,9.2,16.4,28.5,68.2,21.2
2010,1,Aurangabad,27.5,17.3,22.4,19.3,64.5,25.0
2010,1,Nalanda,25.4,12.1,18.8,19.0,66.2,23.9
